protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT870_2_Q9UQ35	Q9UQ35	SRRM2_HUMAN	Serine/arginine repetitive matrix protein 2	Representative isoform	17	166	17
PRT870_2_Q8NE71	Q8NE71	ABCF1_HUMAN	ATP-binding cassette sub-family F member 1	Representative isoform	7	44	7
PRT870_2_Q8WVC0	Q8WVC0	LEO1_HUMAN	RNA polymerase-associated protein LEO1	Representative isoform	7	26	7
PRT870_2_Q6PKG0	Q6PKG0	LARP1_HUMAN	La-related protein 1	Representative isoform	6	38	6
PRT870_2_Q14676	Q14676	MDC1_HUMAN	Mediator of DNA damage checkpoint protein 1	Representative isoform	6	41	6
PRT870_2_Q76FK4	Q76FK4	NOL8_HUMAN	Nucleolar protein 8	Representative isoform	6	33	6
PRT870_2_Q12888	Q12888	TP53B_HUMAN	TP53-binding protein 1	Representative isoform	6	23	6
PRT870_2_Q9NYF8	Q9NYF8	BCLF1_HUMAN	Bcl-2-associated transcription factor 1	Representative isoform	6	56	6
PRT870_2_Q02880	Q02880	TOP2B_HUMAN	DNA topoisomerase 2-beta	Representative isoform	6	27	6
PRT870_2_Q9H1E3	Q9H1E3	NUCKS_HUMAN	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	Representative isoform	5	90	5
PRT870_2_Q02952	Q02952	AKA12_HUMAN	A-kinase anchor protein 12	Representative isoform	4	19	4
PRT870_2_P06748	P06748	NPM_HUMAN	Nucleophosmin	Representative isoform	4	1267	4
PRT870_2_Q4LE39	Q4LE39	ARI4B_HUMAN	AT-rich interactive domain-containing protein 4B	Representative isoform	4	10	4
PRT870_2_Q14C86	Q14C86	GAPD1_HUMAN	GTPase-activating protein and VPS9 domain-containing protein 1	Representative isoform	4	6	4
PRT870_2_Q15149	Q15149	PLEC_HUMAN	Plectin	Representative isoform	4	14	4
PRT870_2_P35659	P35659	DEK_HUMAN	Protein DEK	Representative isoform	4	59	4
PRT870_2_Q13263	Q13263	TIF1B_HUMAN	Transcription intermediary factor 1-beta	Representative isoform	4	43	4
PRT870_2_Q6P2E9	Q6P2E9	EDC4_HUMAN	Enhancer of mRNA-decapping protein 4	Representative isoform	4	21	4
PRT870_2_Q9H4L7	Q9H4L7	SMRCD_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	Representative isoform	4	15	4
PRT870_2_Q641Q2	Q641Q2	WAC2A_HUMAN	WASH complex subunit 2A	Representative isoform	4	21	0
PRT870_2_Q86U86	Q86U86	PB1_HUMAN	Protein polybromo-1	Representative isoform	4	7	4
PRT870_2_P46100	P46100	ATRX_HUMAN	Transcriptional regulator ATRX	Representative isoform	4	17	4
PRT870_2_P46937	P46937	YAP1_HUMAN	Transcriptional coactivator YAP1	Representative isoform	4	15	4
PRT870_2_Q9BTC0	Q9BTC0	DIDO1_HUMAN	Death-inducer obliterator 1	Representative isoform	4	40	4
PRT870_2_P11388	P11388	TOP2A_HUMAN	DNA topoisomerase 2-alpha	Representative isoform	4	11	4
PRT870_2_Q96TA1	Q96TA1	NIBA2_HUMAN	Protein Niban 2	Representative isoform	4	24	4
PRT870_2_Q9P2R6	Q9P2R6	RERE_HUMAN	Arginine-glutamic acid dipeptide repeats protein	Representative isoform	4	11	4
PRT870_2_Q92769	Q92769	HDAC2_HUMAN	Histone deacetylase 2	Representative isoform	4	31	4
PRT870_2_Q14247	Q14247	SRC8_HUMAN	Src substrate cortactin	Representative isoform	4	32	4
PRT870_2_Q99590	Q99590	SCAFB_HUMAN	Protein SCAF11	Representative isoform	4	14	4
PRT870_2_P16989	P16989	YBOX3_HUMAN	Y-box-binding protein 3	Representative isoform	3	30	3
PRT870_2_Q9Y618	Q9Y618	NCOR2_HUMAN	Nuclear receptor corepressor 2	Representative isoform	3	14	3
PRT870_2_O95218	O95218	ZRAB2_HUMAN	Zinc finger Ran-binding domain-containing protein 2	Representative isoform	3	22	3
PRT870_2_Q04726	Q04726	TLE3_HUMAN	Transducin-like enhancer protein 3	Representative isoform	3	10	3
PRT870_2_P28715	P28715	ERCC5_HUMAN	DNA repair protein complementing XP-G cells	Representative isoform	3	7	3
PRT870_2_Q8TDD1	Q8TDD1	DDX54_HUMAN	ATP-dependent RNA helicase DDX54	Representative isoform	3	26	3
PRT870_2_Q9BUJ2	Q9BUJ2	HNRL1_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 1	Representative isoform	3	8	3
PRT870_2_Q13085	Q13085	ACACA_HUMAN	Acetyl-CoA carboxylase 1	Representative isoform	3	11	3
PRT870_2_Q96ST2	Q96ST2	IWS1_HUMAN	Protein IWS1 homolog	Representative isoform	3	38	3
PRT870_2_Q96SB4	Q96SB4	SRPK1_HUMAN	SRSF protein kinase 1	Representative isoform	3	24	3
PRT870_2_Q9Y520	Q9Y520	PRC2C_HUMAN	Protein PRRC2C	Representative isoform	3	8	3
PRT870_2_Q96T23	Q96T23	RSF1_HUMAN	Remodeling and spacing factor 1	Representative isoform	3	10	3
PRT870_2_O60524	O60524	NEMF_HUMAN	Nuclear export mediator factor NEMF	Representative isoform	3	8	3
PRT870_2_Q9Y2K7	Q9Y2K7	KDM2A_HUMAN	Lysine-specific demethylase 2A	Representative isoform	3	9	3
PRT870_2_Q9Y6X9	Q9Y6X9	MORC2_HUMAN	ATPase MORC2	Representative isoform	3	7	3
PRT870_2_Q5JSH3	Q5JSH3	WDR44_HUMAN	WD repeat-containing protein 44	Representative isoform	3	3	3
PRT870_2_O60293	O60293	ZC3H1_HUMAN	Zinc finger C3H1 domain-containing protein	Representative isoform	3	14	3
PRT870_2_Q8N3X1	Q8N3X1	FNBP4_HUMAN	Formin-binding protein 4	Representative isoform	3	10	3
PRT870_2_Q7KZ85	Q7KZ85	SPT6H_HUMAN	Transcription elongation factor SPT6	Representative isoform	3	19	3
PRT870_2_Q15424	Q15424	SAFB1_HUMAN	Scaffold attachment factor B1	Representative isoform	3	21	1
PRT870_2_Q13428	Q13428	TCOF_HUMAN	Treacle protein	Representative isoform	3	22	3
PRT870_2_P51532	P51532	SMCA4_HUMAN	Transcription activator BRG1	Representative isoform	3	33	3
PRT870_2_Q9NQC3	Q9NQC3	RTN4_HUMAN	Reticulon-4	Representative isoform	3	12	3
PRT870_2_Q15154	Q15154	PCM1_HUMAN	Pericentriolar material 1 protein	Representative isoform	3	17	3
PRT870_2_P02545	P02545	LMNA_HUMAN	Prelamin-A/C	Representative isoform	3	9	3
PRT870_2_Q5JTV8	Q5JTV8	TOIP1_HUMAN	Torsin-1A-interacting protein 1	Representative isoform	3	43	3
PRT870_2_Q9NYV4	Q9NYV4	CDK12_HUMAN	Cyclin-dependent kinase 12	Representative isoform	3	58	3
PRT870_2_Q9UIG0	Q9UIG0	BAZ1B_HUMAN	Tyrosine-protein kinase BAZ1B	Representative isoform	3	21	3
PRT870_2_Q8WUB8	Q8WUB8	PHF10_HUMAN	PHD finger protein 10	Representative isoform	3	15	3
PRT870_2_Q15185	Q15185	TEBP_HUMAN	Prostaglandin E synthase 3	Representative isoform	3	27	3
PRT870_2_Q8IYB3	Q8IYB3	SRRM1_HUMAN	Serine/arginine repetitive matrix protein 1	Representative isoform	3	75	3
PRT870_2_Q86XP3	Q86XP3	DDX42_HUMAN	ATP-dependent RNA helicase DDX42	Representative isoform	3	21	3
PRT870_2_P85037	P85037	FOXK1_HUMAN	Forkhead box protein K1	Representative isoform	3	12	3
PRT870_2_Q9BVJ6	Q9BVJ6	UT14A_HUMAN	U3 small nucleolar RNA-associated protein 14 homolog A	Representative isoform	3	16	3
PRT870_2_Q5T200	Q5T200	ZC3HD_HUMAN	Zinc finger CCCH domain-containing protein 13	Representative isoform	3	9	3
PRT870_2_Q8NEJ9	Q8NEJ9	NGDN_HUMAN	Neuroguidin	Representative isoform	3	11	3
PRT870_2_Q9C0C2	Q9C0C2	TB182_HUMAN	182 kDa tankyrase-1-binding protein	Representative isoform	3	20	3
PRT870_2_P46087	P46087	NOP2_HUMAN	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	Representative isoform	3	44	3
PRT870_2_P13861	P13861	KAP2_HUMAN	cAMP-dependent protein kinase type II-alpha regulatory subunit	Representative isoform	3	17	3
PRT870_2_Q9UHB6	Q9UHB6	LIMA1_HUMAN	LIM domain and actin-binding protein 1	Representative isoform	2	9	2
PRT870_2_Q66K74	Q66K74	MAP1S_HUMAN	Microtubule-associated protein 1S	Representative isoform	2	12	2
PRT870_2_P18858	P18858	DNLI1_HUMAN	DNA ligase 1	Representative isoform	2	5	2
PRT870_2_Q9ULU4	Q9ULU4	PKCB1_HUMAN	Protein kinase C-binding protein 1	Representative isoform	2	5	2
PRT870_2_P23588	P23588	IF4B_HUMAN	Eukaryotic translation initiation factor 4B	Representative isoform	2	13	2
PRT870_2_Q16637	Q16637	SMN_HUMAN	Survival motor neuron protein	Representative isoform	2	14	2
PRT870_2_Q9UNF0	Q9UNF0	PACN2_HUMAN	Protein kinase C and casein kinase substrate in neurons protein 2	Representative isoform	2	13	2
PRT870_2_Q99733	Q99733	NP1L4_HUMAN	Nucleosome assembly protein 1-like 4	Representative isoform	2	19	2
PRT870_2_Q01831	Q01831	XPC_HUMAN	DNA repair protein complementing XP-C cells	Representative isoform	2	14	2
PRT870_2_Q9NR30	Q9NR30	DDX21_HUMAN	Nucleolar RNA helicase 2	Representative isoform	2	35	2
PRT870_2_Q96B36	Q96B36	AKTS1_HUMAN	Proline-rich AKT1 substrate 1	Representative isoform	2	8	2
PRT870_2_Q9NQS7	Q9NQS7	INCE_HUMAN	Inner centromere protein	Representative isoform	2	3	2
PRT870_2_Q86VR2	Q86VR2	RETR3_HUMAN	Reticulophagy regulator 3	Representative isoform	2	8	2
PRT870_2_P51858	P51858	HDGF_HUMAN	Hepatoma-derived growth factor	Representative isoform	2	46	2
PRT870_2_Q7Z4V5	Q7Z4V5	HDGR2_HUMAN	Hepatoma-derived growth factor-related protein 2	Representative isoform	2	31	2
PRT870_2_P15924	P15924	DESP_HUMAN	Desmoplakin	Representative isoform	2	19	2
PRT870_2_P55209	P55209	NP1L1_HUMAN	Nucleosome assembly protein 1-like 1	Representative isoform	2	2	2
PRT870_2_Q4G0J3	Q4G0J3	LARP7_HUMAN	La-related protein 7	Representative isoform	2	6	2
