protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT870_2_Q00613	Q00613	HSF1_HUMAN	Heat shock factor protein 1	Representative isoform	2	5	2
PRT870_2_A1L390	A1L390	PKHG3_HUMAN	Pleckstrin homology domain-containing family G member 3	Representative isoform	2	6	2
PRT870_2_Q5T1M5	Q5T1M5	FKB15_HUMAN	FK506-binding protein 15	Representative isoform	2	4	2
PRT870_2_Q9Y446	Q9Y446	PKP3_HUMAN	Plakophilin-3	Representative isoform	2	4	2
PRT870_2_Q8NC51	Q8NC51	PAIRB_HUMAN	Plasminogen activator inhibitor 1 RNA-binding protein	Representative isoform	2	5	2
PRT870_2_Q9Y5B6	Q9Y5B6	PAXB1_HUMAN	PAX3- and PAX7-binding protein 1	Representative isoform	2	18	2
PRT870_2_P38398	P38398	BRCA1_HUMAN	Breast cancer type 1 susceptibility protein	Representative isoform	2	5	2
PRT870_2_Q07157	Q07157	ZO1_HUMAN	Tight junction protein ZO-1	Representative isoform	2	9	2
PRT870_2_Q9BYW2	Q9BYW2	SETD2_HUMAN	Histone-lysine N-methyltransferase SETD2	Representative isoform	2	9	2
PRT870_2_Q96TC7	Q96TC7	RMD3_HUMAN	Regulator of microtubule dynamics protein 3	Representative isoform	2	5	2
PRT870_2_Q9BQG0	Q9BQG0	MBB1A_HUMAN	Myb-binding protein 1A	Representative isoform	2	16	2
PRT870_2_Q15459	Q15459	SF3A1_HUMAN	Splicing factor 3A subunit 1	Representative isoform	2	10	2
PRT870_2_O60343	O60343	TBCD4_HUMAN	TBC1 domain family member 4	Representative isoform	2	5	2
PRT870_2_Q2KHR3	Q2KHR3	QSER1_HUMAN	Glutamine and serine-rich protein 1	Representative isoform	2	5	2
PRT870_2_Q9UKV3	Q9UKV3	ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus	Representative isoform	2	2	2
PRT870_2_P20810	P20810	ICAL_HUMAN	Calpastatin	Representative isoform	2	5	2
PRT870_2_O14617	O14617	AP3D1_HUMAN	AP-3 complex subunit delta-1	Representative isoform	2	12	2
PRT870_2_P55884	P55884	EIF3B_HUMAN	Eukaryotic translation initiation factor 3 subunit B	Representative isoform	2	52	2
PRT870_2_Q96AY2	Q96AY2	EME1_HUMAN	Crossover junction endonuclease EME1	Representative isoform	2	6	2
PRT870_2_P27824	P27824	CALX_HUMAN	Calnexin	Representative isoform	2	17	2
PRT870_2_P52948	P52948	NUP98_HUMAN	Nuclear pore complex protein Nup98-Nup96	Representative isoform	2	10	2
PRT870_2_Q99543	Q99543	DNJC2_HUMAN	DnaJ homolog subfamily C member 2	Representative isoform	2	7	2
PRT870_2_Q01804	Q01804	OTUD4_HUMAN	OTU domain-containing protein 4	Representative isoform	2	7	2
PRT870_2_Q6UN15	Q6UN15	FIP1_HUMAN	Pre-mRNA 3'-end-processing factor FIP1	Representative isoform	2	8	2
PRT870_2_Q14161	Q14161	GIT2_HUMAN	ARF GTPase-activating protein GIT2	Representative isoform	2	5	2
PRT870_2_Q8ND56	Q8ND56	LS14A_HUMAN	Protein LSM14 homolog A	Representative isoform	2	11	2
PRT870_2_Q14839	Q14839	CHD4_HUMAN	Chromodomain-helicase-DNA-binding protein 4	Representative isoform	2	3	2
PRT870_2_Q99700	Q99700	ATX2_HUMAN	Ataxin-2	Representative isoform	2	5	2
PRT870_2_Q9H0D6	Q9H0D6	XRN2_HUMAN	5'-3' exoribonuclease 2	Representative isoform	2	12	2
PRT870_2_O75822	O75822	EIF3J_HUMAN	Eukaryotic translation initiation factor 3 subunit J	Representative isoform	2	18	2
PRT870_2_Q27J81	Q27J81	INF2_HUMAN	Inverted formin-2	Representative isoform	2	7	2
PRT870_2_Q8NDI1	Q8NDI1	EHBP1_HUMAN	EH domain-binding protein 1	Representative isoform	2	2	2
PRT870_2_O60763	O60763	USO1_HUMAN	General vesicular transport factor p115	Representative isoform	2	14	2
PRT870_2_Q92766	Q92766	RREB1_HUMAN	Ras-responsive element-binding protein 1	Representative isoform	2	6	2
PRT870_2_Q96EV2	Q96EV2	RBM33_HUMAN	RNA-binding protein 33	Representative isoform	2	6	2
PRT870_2_P17812	P17812	PYRG1_HUMAN	CTP synthase 1	Representative isoform	2	29	2
PRT870_2_P21127	P21127	CD11B_HUMAN	Cyclin-dependent kinase 11B	Representative isoform	2	9	1
PRT870_2_P18615	P18615	NELFE_HUMAN	Negative elongation factor E	Representative isoform	2	3	2
PRT870_2_P29692	P29692	EF1D_HUMAN	Elongation factor 1-delta	Representative isoform	2	74	2
PRT870_2_Q5UIP0	Q5UIP0	RIF1_HUMAN	Telomere-associated protein RIF1	Representative isoform	2	3	2
PRT870_2_P61978	P61978	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K	Representative isoform	2	9	2
PRT870_2_P05388	P05388	RLA0_HUMAN	60S acidic ribosomal protein P0	Representative isoform	2	68	0
PRT870_2_Q5SW79	Q5SW79	CE170_HUMAN	Centrosomal protein of 170 kDa	Representative isoform	2	3	2
PRT870_2_Q9UN86	Q9UN86	G3BP2_HUMAN	Ras GTPase-activating protein-binding protein 2	Representative isoform	2	15	2
PRT870_2_Q86TC9	Q86TC9	MYPN_HUMAN	Myopalladin	Representative isoform	2	7	2
PRT870_2_P68363	P68363	TBA1B_HUMAN	Tubulin alpha-1B chain	Representative isoform	2	3	0
PRT870_2_Q8N163	Q8N163	CCAR2_HUMAN	Cell cycle and apoptosis regulator protein 2	Representative isoform	2	7	2
PRT870_2_O14974	O14974	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A	Representative isoform	2	6	2
PRT870_2_O60832	O60832	DKC1_HUMAN	H/ACA ribonucleoprotein complex subunit DKC1	Representative isoform	2	8	2
PRT870_2_Q9ULL5	Q9ULL5	PRR12_HUMAN	Proline-rich protein 12	Representative isoform	2	4	2
PRT870_2_P54727	P54727	RD23B_HUMAN	UV excision repair protein RAD23 homolog B	Representative isoform	2	8	2
PRT870_2_P06733	P06733	ENOA_HUMAN	Alpha-enolase	Representative isoform	2	3	1
PRT870_2_Q15019	Q15019	SEPT2_HUMAN	Septin-2	Representative isoform	2	9	2
PRT870_2_P54725	P54725	RD23A_HUMAN	UV excision repair protein RAD23 homolog A	Representative isoform	2	6	2
PRT870_2_Q9NQ55	Q9NQ55	SSF1_HUMAN	Suppressor of SWI4 1 homolog	Representative isoform	2	18	2
PRT870_2_Q5TAQ9	Q5TAQ9	DCAF8_HUMAN	DDB1- and CUL4-associated factor 8	Representative isoform	2	10	2
PRT870_2_O00264	O00264	PGRC1_HUMAN	Membrane-associated progesterone receptor component 1	Representative isoform	2	22	2
PRT870_2_O00410	O00410	IPO5_HUMAN	Importin-5	Representative isoform	2	3	2
PRT870_2_Q03164	Q03164	KMT2A_HUMAN	Histone-lysine N-methyltransferase 2A	Representative isoform	2	3	2
PRT870_2_P98175	P98175	RBM10_HUMAN	RNA-binding protein 10	Representative isoform	2	23	2
PRT870_2_Q9Y2D5	Q9Y2D5	AKAP2_HUMAN	A-kinase anchor protein 2	Representative isoform	2	4	2
PRT870_2_Q14157	Q14157	UBP2L_HUMAN	Ubiquitin-associated protein 2-like	Representative isoform	2	5	2
PRT870_2_Q96T88	Q96T88	UHRF1_HUMAN	E3 ubiquitin-protein ligase UHRF1	Representative isoform	2	7	2
PRT870_2_Q92614	Q92614	MY18A_HUMAN	Unconventional myosin-XVIIIa	Representative isoform	2	6	2
PRT870_2_P07910	P07910	HNRPC_HUMAN	Heterogeneous nuclear ribonucleoproteins C1/C2	Representative isoform	2	22	2
PRT870_2_Q9NPQ8	Q9NPQ8	RIC8A_HUMAN	Synembryn-A	Representative isoform	1	16	1
PRT870_2_O95197	O95197	RTN3_HUMAN	Reticulon-3	Representative isoform	1	7	1
PRT870_2_Q68D10	Q68D10	SPT2_HUMAN	Protein SPT2 homolog	Representative isoform	1	1	1
PRT870_2_P29375	P29375	KDM5A_HUMAN	Lysine-specific demethylase 5A	Representative isoform	1	2	1
PRT870_2_O00267	O00267	SPT5H_HUMAN	Transcription elongation factor SPT5	Representative isoform	1	39	1
PRT870_2_Q86UP2	Q86UP2	KTN1_HUMAN	Kinectin	Representative isoform	1	4	1
PRT870_2_Q7Z6Z7	Q7Z6Z7	HUWE1_HUMAN	E3 ubiquitin-protein ligase HUWE1	Representative isoform	1	4	1
PRT870_2_Q86YS7	Q86YS7	C2CD5_HUMAN	C2 domain-containing protein 5	Representative isoform	1	2	1
PRT870_2_Q8WY36	Q8WY36	BBX_HUMAN	HMG box transcription factor BBX	Representative isoform	1	1	1
PRT870_2_Q7Z333	Q7Z333	SETX_HUMAN	Probable helicase senataxin	Representative isoform	1	3	1
PRT870_2_P06454	P06454	PTMA_HUMAN	Prothymosin alpha	Representative isoform	1	6	1
PRT870_2_Q8WVB6	Q8WVB6	CTF18_HUMAN	Chromosome transmission fidelity protein 18 homolog	Representative isoform	1	5	1
PRT870_2_Q15084	Q15084	PDIA6_HUMAN	Protein disulfide-isomerase A6	Representative isoform	1	2	1
PRT870_2_Q8TF01	Q8TF01	PNISR_HUMAN	Arginine/serine-rich protein PNISR	Representative isoform	1	4	1
PRT870_2_Q9UDY2	Q9UDY2	ZO2_HUMAN	Tight junction protein ZO-2	Representative isoform	1	1	1
PRT870_2_Q9UK58	Q9UK58	CCNL1_HUMAN	Cyclin-L1	Representative isoform	1	9	1
PRT870_2_O75179	O75179	ANR17_HUMAN	Ankyrin repeat domain-containing protein 17	Representative isoform	1	1	1
PRT870_2_O14639	O14639	ABLM1_HUMAN	Actin-binding LIM protein 1	Representative isoform	1	2	1
PRT870_2_O95905	O95905	ECD_HUMAN	Protein ecdysoneless homolog	Representative isoform	1	2	1
PRT870_2_P42696	P42696	RBM34_HUMAN	RNA-binding protein 34	Representative isoform	1	1	1
PRT870_2_Q68EM7	Q68EM7	RHG17_HUMAN	Rho GTPase-activating protein 17	Representative isoform	1	4	1
PRT870_2_O95251	O95251	KAT7_HUMAN	Histone acetyltransferase KAT7	Representative isoform	1	3	1
PRT870_2_Q3KQU3	Q3KQU3	MA7D1_HUMAN	MAP7 domain-containing protein 1	Representative isoform	1	3	1
PRT870_2_Q8WVM7	Q8WVM7	STAG1_HUMAN	Cohesin subunit SA-1	Representative isoform	1	1	1
PRT870_2_Q9UNS1	Q9UNS1	TIM_HUMAN	Protein timeless homolog	Representative isoform	1	1	1
PRT870_2_Q92804	Q92804	RBP56_HUMAN	TATA-binding protein-associated factor 2N	Representative isoform	1	3	1
PRT870_2_Q96AC1	Q96AC1	FERM2_HUMAN	Fermitin family homolog 2	Representative isoform	1	3	1
PRT870_2_Q9BTA9	Q9BTA9	WAC_HUMAN	WW domain-containing adapter protein with coiled-coil	Representative isoform	1	8	1
PRT870_2_P51114	P51114	FXR1_HUMAN	Fragile X mental retardation syndrome-related protein 1	Representative isoform	1	3	1
PRT870_2_Q6L8Q7	Q6L8Q7	PDE12_HUMAN	2',5'-phosphodiesterase 12	Representative isoform	1	1	1
PRT870_2_Q3YEC7	Q3YEC7	RABL6_HUMAN	Rab-like protein 6	Representative isoform	1	2	1
PRT870_2_O76021	O76021	RL1D1_HUMAN	Ribosomal L1 domain-containing protein 1	Representative isoform	1	10	1
PRT870_2_Q92974	Q92974	ARHG2_HUMAN	Rho guanine nucleotide exchange factor 2	Representative isoform	1	2	1
PRT870_2_O14497	O14497	ARI1A_HUMAN	AT-rich interactive domain-containing protein 1A	Representative isoform	1	2	1
PRT870_2_P52701	P52701	MSH6_HUMAN	DNA mismatch repair protein Msh6	Representative isoform	1	1	1
PRT870_2_Q9H788	Q9H788	SH24A_HUMAN	SH2 domain-containing protein 4A	Representative isoform	1	2	1
PRT870_2_Q9NVU0	Q9NVU0	RPC5_HUMAN	DNA-directed RNA polymerase III subunit RPC5	Representative isoform	1	1	1
PRT870_2_Q68CZ2	Q68CZ2	TENS3_HUMAN	Tensin-3	Representative isoform	1	1	1
PRT870_2_Q07666	Q07666	KHDR1_HUMAN	KH domain-containing, RNA-binding, signal transduction-associated protein 1	Representative isoform	1	4	1
PRT870_2_P51991	P51991	ROA3_HUMAN	Heterogeneous nuclear ribonucleoprotein A3	Representative isoform	1	11	1
PRT870_2_Q16666	Q16666	IF16_HUMAN	Gamma-interferon-inducible protein 16	Representative isoform	1	1	1
PRT870_2_Q6WKZ4	Q6WKZ4	RFIP1_HUMAN	Rab11 family-interacting protein 1	Representative isoform	1	2	1
PRT870_2_Q00839	Q00839	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U	Representative isoform	1	48	1
PRT870_2_Q8NI27	Q8NI27	THOC2_HUMAN	THO complex subunit 2	Representative isoform	1	2	1
PRT870_2_P25440	P25440	BRD2_HUMAN	Bromodomain-containing protein 2	Representative isoform	1	7	1
PRT870_2_Q69YQ0	Q69YQ0	CYTSA_HUMAN	Cytospin-A	Representative isoform	1	1	1
PRT870_2_Q96HR8	Q96HR8	NAF1_HUMAN	H/ACA ribonucleoprotein complex non-core subunit NAF1	Representative isoform	1	3	1
PRT870_2_O60271	O60271	JIP4_HUMAN	C-Jun-amino-terminal kinase-interacting protein 4	Representative isoform	1	2	1
PRT870_2_O60341	O60341	KDM1A_HUMAN	Lysine-specific histone demethylase 1A	Representative isoform	1	5	1
PRT870_2_Q58WW2	Q58WW2	DCAF6_HUMAN	DDB1- and CUL4-associated factor 6	Representative isoform	1	2	1
PRT870_2_P78316	P78316	NOP14_HUMAN	Nucleolar protein 14	Representative isoform	1	6	1
PRT870_2_O75592	O75592	MYCB2_HUMAN	E3 ubiquitin-protein ligase MYCBP2	Representative isoform	1	2	1
PRT870_2_Q12872	Q12872	SFSWA_HUMAN	Splicing factor, suppressor of white-apricot homolog	Representative isoform	1	3	1
PRT870_2_Q6KC79	Q6KC79	NIPBL_HUMAN	Nipped-B-like protein	Representative isoform	1	6	1
PRT870_2_O95684	O95684	FR1OP_HUMAN	FGFR1 oncogene partner	Representative isoform	1	4	1
PRT870_2_Q9UPQ0	Q9UPQ0	LIMC1_HUMAN	LIM and calponin homology domains-containing protein 1	Representative isoform	1	4	1
PRT870_2_P29374	P29374	ARI4A_HUMAN	AT-rich interactive domain-containing protein 4A	Representative isoform	1	1	1
PRT870_2_Q9NTI5	Q9NTI5	PDS5B_HUMAN	Sister chromatid cohesion protein PDS5 homolog B	Representative isoform	1	7	1
PRT870_2_Q8N1G0	Q8N1G0	ZN687_HUMAN	Zinc finger protein 687	Representative isoform	1	3	1
PRT870_2_Q12906	Q12906	ILF3_HUMAN	Interleukin enhancer-binding factor 3	Representative isoform	1	4	1
PRT870_2_Q14978	Q14978	NOLC1_HUMAN	Nucleolar and coiled-body phosphoprotein 1	Representative isoform	1	3	1
PRT870_2_Q05209	Q05209	PTN12_HUMAN	Tyrosine-protein phosphatase non-receptor type 12	Representative isoform	1	1	1
PRT870_2_Q9UEY8	Q9UEY8	ADDG_HUMAN	Gamma-adducin	Representative isoform	1	5	1
PRT870_2_Q16828	Q16828	DUS6_HUMAN	Dual specificity protein phosphatase 6	Representative isoform	1	1	0
PRT870_2_P49759	P49759	CLK1_HUMAN	Dual specificity protein kinase CLK1	Representative isoform	1	2	1
PRT870_2_Q5H9R7	Q5H9R7	PP6R3_HUMAN	Serine/threonine-protein phosphatase 6 regulatory subunit 3	Representative isoform	1	4	1
PRT870_2_P55201	P55201	BRPF1_HUMAN	Peregrin	Representative isoform	1	10	1
PRT870_2_O75381	O75381	PEX14_HUMAN	Peroxisomal membrane protein PEX14	Representative isoform	1	2	1
PRT870_2_Q9UBK9	Q9UBK9	UXT_HUMAN	Protein UXT	Representative isoform	1	2	1
PRT870_2_Q06210	Q06210	GFPT1_HUMAN	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	Representative isoform	1	2	1
PRT870_2_Q9Y3E7	Q9Y3E7	CHMP3_HUMAN	Charged multivesicular body protein 3	Representative isoform	1	1	1
PRT870_2_Q96EV8	Q96EV8	DTBP1_HUMAN	Dysbindin	Representative isoform	1	4	1
PRT870_2_Q8TBB5	Q8TBB5	KLDC4_HUMAN	Kelch domain-containing protein 4	Representative isoform	1	1	1
PRT870_2_Q9HAW4	Q9HAW4	CLSPN_HUMAN	Claspin	Representative isoform	1	1	1
PRT870_2_Q96G46	Q96G46	DUS3L_HUMAN	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like	Representative isoform	1	9	1
PRT870_2_P55210	P55210	CASP7_HUMAN	Caspase-7	Representative isoform	1	1	1
PRT870_2_Q9NQX3	Q9NQX3	GEPH_HUMAN	Gephyrin	Representative isoform	1	9	1
PRT870_2_Q13309	Q13309	SKP2_HUMAN	S-phase kinase-associated protein 2	Representative isoform	1	2	1
PRT870_2_Q71RC2	Q71RC2	LARP4_HUMAN	La-related protein 4	Representative isoform	1	4	1
PRT870_2_Q9Y606	Q9Y606	TRUA_HUMAN	tRNA pseudouridine synthase A	Representative isoform	1	3	1
PRT870_2_P35251	P35251	RFC1_HUMAN	Replication factor C subunit 1	Representative isoform	1	4	1
PRT870_2_Q15642	Q15642	CIP4_HUMAN	Cdc42-interacting protein 4	Representative isoform	1	3	1
PRT870_2_Q14669	Q14669	TRIPC_HUMAN	E3 ubiquitin-protein ligase TRIP12	Representative isoform	1	12	1
PRT870_2_Q86UY5	Q86UY5	FA83A_HUMAN	Protein FAM83A	Representative isoform	1	5	1
PRT870_2_Q9BVC5	Q9BVC5	ASHWN_HUMAN	Ashwin	Representative isoform	1	3	1
