protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT824_1_Q9UQ35	Q9UQ35	SRRM2_HUMAN	Serine/arginine repetitive matrix protein 2	Representative isoform	42	254	42
PRT824_1_P02545	P02545	LMNA_HUMAN	Prelamin-A/C	Representative isoform	12	64	12
PRT824_1_Q13428	Q13428	TCOF_HUMAN	Treacle protein	Representative isoform	11	58	11
PRT824_1_Q14978	Q14978	NOLC1_HUMAN	Nucleolar and coiled-body phosphoprotein 1	Representative isoform	8	79	8
PRT824_1_Q8WVC0	Q8WVC0	LEO1_HUMAN	RNA polymerase-associated protein LEO1	Representative isoform	7	31	7
PRT824_1_P06748	P06748	NPM_HUMAN	Nucleophosmin	Representative isoform	7	611	7
PRT824_1_Q8IYB3	Q8IYB3	SRRM1_HUMAN	Serine/arginine repetitive matrix protein 1	Representative isoform	7	21	7
PRT824_1_P46100	P46100	ATRX_HUMAN	Transcriptional regulator ATRX	Representative isoform	7	25	7
PRT824_1_P21333	P21333	FLNA_HUMAN	Filamin-A	Representative isoform	6	43	6
PRT824_1_P04075	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A	Representative isoform	6	33	6
PRT824_1_Q8WWI1	Q8WWI1	LMO7_HUMAN	LIM domain only protein 7	Representative isoform	6	29	6
PRT824_1_P22626	P22626	ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1	Representative isoform	6	27	6
PRT824_1_Q6KC79	Q6KC79	NIPBL_HUMAN	Nipped-B-like protein	Representative isoform	6	35	6
PRT824_1_P31749	P31749	AKT1_HUMAN	RAC-alpha serine/threonine-protein kinase	Representative isoform	6	107	3
PRT824_1_P51532	P51532	SMCA4_HUMAN	Transcription activator BRG1	Representative isoform	5	62	5
PRT824_1_P11142	P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein	Representative isoform	5	9	2
PRT824_1_P11388	P11388	TOP2A_HUMAN	DNA topoisomerase 2-alpha	Representative isoform	5	15	5
PRT824_1_P09651	P09651	ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1	Representative isoform	5	19	3
PRT824_1_Q9NYV4	Q9NYV4	CDK12_HUMAN	Cyclin-dependent kinase 12	Representative isoform	5	10	5
PRT824_1_P35659	P35659	DEK_HUMAN	Protein DEK	Representative isoform	5	99	5
PRT824_1_Q01130	Q01130	SRSF2_HUMAN	Serine/arginine-rich splicing factor 2	Representative isoform	4	13	4
PRT824_1_Q7Z5L9	Q7Z5L9	I2BP2_HUMAN	Interferon regulatory factor 2-binding protein 2	Representative isoform	4	11	3
PRT824_1_P48634	P48634	PRC2A_HUMAN	Protein PRRC2A	Representative isoform	4	16	4
PRT824_1_Q9NTI5	Q9NTI5	PDS5B_HUMAN	Sister chromatid cohesion protein PDS5 homolog B	Representative isoform	4	9	4
PRT824_1_P29692	P29692	EF1D_HUMAN	Elongation factor 1-delta	Representative isoform	4	81	4
PRT824_1_Q7Z4V5	Q7Z4V5	HDGR2_HUMAN	Hepatoma-derived growth factor-related protein 2	Representative isoform	4	16	4
PRT824_1_Q9H0D6	Q9H0D6	XRN2_HUMAN	5'-3' exoribonuclease 2	Representative isoform	4	15	4
PRT824_1_P07900	P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha	Representative isoform	4	9	2
PRT824_1_O60293	O60293	ZC3H1_HUMAN	Zinc finger C3H1 domain-containing protein	Representative isoform	4	29	4
PRT824_1_Q5UIP0	Q5UIP0	RIF1_HUMAN	Telomere-associated protein RIF1	Representative isoform	4	11	4
PRT824_1_P61978	P61978	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K	Representative isoform	4	16	4
PRT824_1_Q9UKV3	Q9UKV3	ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus	Representative isoform	4	15	4
PRT824_1_Q9UKJ3	Q9UKJ3	GPTC8_HUMAN	G patch domain-containing protein 8	Representative isoform	4	16	4
PRT824_1_P14866	P14866	HNRPL_HUMAN	Heterogeneous nuclear ribonucleoprotein L	Representative isoform	4	23	4
PRT824_1_Q92841	Q92841	DDX17_HUMAN	Probable ATP-dependent RNA helicase DDX17	Representative isoform	4	12	3
PRT824_1_P18583	P18583	SON_HUMAN	Protein SON	Representative isoform	4	24	4
PRT824_1_Q76FK4	Q76FK4	NOL8_HUMAN	Nucleolar protein 8	Representative isoform	3	10	3
PRT824_1_O95453	O95453	PARN_HUMAN	Poly(A)-specific ribonuclease PARN	Representative isoform	3	9	3
PRT824_1_O15530	O15530	PDPK1_HUMAN	3-phosphoinositide-dependent protein kinase 1	Representative isoform	3	4	0
PRT824_1_Q92597	Q92597	NDRG1_HUMAN	Protein NDRG1	Representative isoform	3	7	3
PRT824_1_Q96ST2	Q96ST2	IWS1_HUMAN	Protein IWS1 homolog	Representative isoform	3	8	3
PRT824_1_P51991	P51991	ROA3_HUMAN	Heterogeneous nuclear ribonucleoprotein A3	Representative isoform	3	9	3
PRT824_1_Q12888	Q12888	TP53B_HUMAN	TP53-binding protein 1	Representative isoform	3	19	3
PRT824_1_O95218	O95218	ZRAB2_HUMAN	Zinc finger Ran-binding domain-containing protein 2	Representative isoform	3	17	3
