protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT824_1_Q9NYF8	Q9NYF8	BCLF1_HUMAN	Bcl-2-associated transcription factor 1	Representative isoform	3	15	3
PRT824_1_Q9P1Y6	Q9P1Y6	PHRF1_HUMAN	PHD and RING finger domain-containing protein 1	Representative isoform	3	5	3
PRT824_1_P62995	P62995	TRA2B_HUMAN	Transformer-2 protein homolog beta	Representative isoform	3	6	1
PRT824_1_P38159	P38159	RBMX_HUMAN	RNA-binding motif protein, X chromosome	Representative isoform	3	7	1
PRT824_1_Q9H1E3	Q9H1E3	NUCKS_HUMAN	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	Representative isoform	3	30	3
PRT824_1_P14314	P14314	GLU2B_HUMAN	Glucosidase 2 subunit beta	Representative isoform	3	21	3
PRT824_1_O00264	O00264	PGRC1_HUMAN	Membrane-associated progesterone receptor component 1	Representative isoform	3	40	3
PRT824_1_Q13595	Q13595	TRA2A_HUMAN	Transformer-2 protein homolog alpha	Representative isoform	3	11	1
PRT824_1_Q9H2Y7	Q9H2Y7	ZN106_HUMAN	Zinc finger protein 106	Representative isoform	3	12	3
PRT824_1_P62258	P62258	1433E_HUMAN	14-3-3 protein epsilon	Representative isoform	3	19	2
PRT824_1_Q9BTC0	Q9BTC0	DIDO1_HUMAN	Death-inducer obliterator 1	Representative isoform	3	38	3
PRT824_1_P27816	P27816	MAP4_HUMAN	Microtubule-associated protein 4	Representative isoform	3	18	3
PRT824_1_P26358	P26358	DNMT1_HUMAN	DNA (cytosine-5)-methyltransferase 1	Representative isoform	3	49	3
PRT824_1_P78347	P78347	GTF2I_HUMAN	General transcription factor II-I	Representative isoform	3	4	3
PRT824_1_Q6PJT7	Q6PJT7	ZC3HE_HUMAN	Zinc finger CCCH domain-containing protein 14	Representative isoform	3	9	3
PRT824_1_P51858	P51858	HDGF_HUMAN	Hepatoma-derived growth factor	Representative isoform	3	7	3
PRT824_1_Q05519	Q05519	SRS11_HUMAN	Serine/arginine-rich splicing factor 11	Representative isoform	3	8	3
PRT824_1_Q5T200	Q5T200	ZC3HD_HUMAN	Zinc finger CCCH domain-containing protein 13	Representative isoform	3	11	3
PRT824_1_P07910	P07910	HNRPC_HUMAN	Heterogeneous nuclear ribonucleoproteins C1/C2	Representative isoform	2	6	1
PRT824_1_Q7L4I2	Q7L4I2	RSRC2_HUMAN	Arginine/serine-rich coiled-coil protein 2	Representative isoform	2	2	2
PRT824_1_P25788	P25788	PSA3_HUMAN	Proteasome subunit alpha type-3	Representative isoform	2	7	2
PRT824_1_Q92769	Q92769	HDAC2_HUMAN	Histone deacetylase 2	Representative isoform	2	7	2
PRT824_1_Q69YN4	Q69YN4	VIR_HUMAN	Protein virilizer homolog	Representative isoform	2	7	2
PRT824_1_Q96T37	Q96T37	RBM15_HUMAN	RNA-binding protein 15	Representative isoform	2	5	2
PRT824_1_Q9NP61	Q9NP61	ARFG3_HUMAN	ADP-ribosylation factor GTPase-activating protein 3	Representative isoform	2	8	2
PRT824_1_O14974	O14974	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A	Representative isoform	2	17	2
PRT824_1_Q86U86	Q86U86	PB1_HUMAN	Protein polybromo-1	Representative isoform	2	4	2
PRT824_1_Q9BY44	Q9BY44	EIF2A_HUMAN	Eukaryotic translation initiation factor 2A	Representative isoform	2	14	2
PRT824_1_Q14980	Q14980	NUMA1_HUMAN	Nuclear mitotic apparatus protein 1	Representative isoform	2	11	2
PRT824_1_Q9UPN3	Q9UPN3	MACF1_HUMAN	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5	Representative isoform	2	10	2
PRT824_1_Q9UJX2	Q9UJX2	CDC23_HUMAN	Cell division cycle protein 23 homolog	Representative isoform	2	8	2
PRT824_1_Q53F19	Q53F19	NCBP3_HUMAN	Nuclear cap-binding protein subunit 3	Representative isoform	2	9	2
PRT824_1_P63104	P63104	1433Z_HUMAN	14-3-3 protein zeta/delta	Representative isoform	2	9	1
PRT824_1_P16989	P16989	YBOX3_HUMAN	Y-box-binding protein 3	Representative isoform	2	5	1
PRT824_1_P14618	P14618	KPYM_HUMAN	Pyruvate kinase PKM	Representative isoform	2	6	2
PRT824_1_Q07666	Q07666	KHDR1_HUMAN	KH domain-containing, RNA-binding, signal transduction-associated protein 1	Representative isoform	2	16	2
PRT824_1_Q8WUB8	Q8WUB8	PHF10_HUMAN	PHD finger protein 10	Representative isoform	2	5	2
PRT824_1_Q9UEY8	Q9UEY8	ADDG_HUMAN	Gamma-adducin	Representative isoform	2	3	2
PRT824_1_Q86TC9	Q86TC9	MYPN_HUMAN	Myopalladin	Representative isoform	2	9	2
PRT824_1_Q4G0J3	Q4G0J3	LARP7_HUMAN	La-related protein 7	Representative isoform	2	11	2
PRT824_1_P62937	P62937	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A	Representative isoform	2	4	1
PRT824_1_Q13610	Q13610	PWP1_HUMAN	Periodic tryptophan protein 1 homolog	Representative isoform	2	10	2
PRT824_1_Q9Y6X9	Q9Y6X9	MORC2_HUMAN	ATPase MORC2	Representative isoform	2	6	2
PRT824_1_Q8N3X1	Q8N3X1	FNBP4_HUMAN	Formin-binding protein 4	Representative isoform	2	6	2
PRT824_1_P13861	P13861	KAP2_HUMAN	cAMP-dependent protein kinase type II-alpha regulatory subunit	Representative isoform	2	13	2
PRT824_1_Q13263	Q13263	TIF1B_HUMAN	Transcription intermediary factor 1-beta	Representative isoform	2	20	2
PRT824_1_Q12789	Q12789	TF3C1_HUMAN	General transcription factor 3C polypeptide 1	Representative isoform	2	6	2
PRT824_1_P49959	P49959	MRE11_HUMAN	Double-strand break repair protein MRE11	Representative isoform	2	14	2
PRT824_1_Q9NR30	Q9NR30	DDX21_HUMAN	Nucleolar RNA helicase 2	Representative isoform	2	8	2
PRT824_1_P26641	P26641	EF1G_HUMAN	Elongation factor 1-gamma	Representative isoform	2	3	2
PRT824_1_O95425	O95425	SVIL_HUMAN	Supervillin	Representative isoform	2	9	2
PRT824_1_P23193	P23193	TCEA1_HUMAN	Transcription elongation factor A protein 1	Representative isoform	2	5	2
PRT824_1_P25054	P25054	APC_HUMAN	Adenomatous polyposis coli protein	Representative isoform	2	4	2
PRT824_1_Q15717	Q15717	ELAV1_HUMAN	ELAV-like protein 1	Representative isoform	2	7	2
PRT824_1_P31947	P31947	1433S_HUMAN	14-3-3 protein sigma	Representative isoform	2	4	1
PRT824_1_Q15019	Q15019	SEPT2_HUMAN	Septin-2	Representative isoform	2	8	2
PRT824_1_Q9NQ55	Q9NQ55	SSF1_HUMAN	Suppressor of SWI4 1 homolog	Representative isoform	2	3	2
PRT824_1_Q96AE4	Q96AE4	FUBP1_HUMAN	Far upstream element-binding protein 1	Representative isoform	2	5	2
PRT824_1_Q9UJU6	Q9UJU6	DBNL_HUMAN	Drebrin-like protein	Representative isoform	2	4	2
PRT824_1_Q9UPR0	Q9UPR0	PLCL2_HUMAN	Inactive phospholipase C-like protein 2	Representative isoform	2	7	2
PRT824_1_Q86UU0	Q86UU0	BCL9L_HUMAN	B-cell CLL/lymphoma 9-like protein	Representative isoform	2	8	2
PRT824_1_Q9NQC3	Q9NQC3	RTN4_HUMAN	Reticulon-4	Representative isoform	2	6	2
PRT824_1_Q9BXP5	Q9BXP5	SRRT_HUMAN	Serrate RNA effector molecule homolog	Representative isoform	2	2	2
PRT824_1_P31946	P31946	1433B_HUMAN	14-3-3 protein beta/alpha	Representative isoform	2	8	1
PRT824_1_O76021	O76021	RL1D1_HUMAN	Ribosomal L1 domain-containing protein 1	Representative isoform	2	9	2
PRT824_1_P23588	P23588	IF4B_HUMAN	Eukaryotic translation initiation factor 4B	Representative isoform	2	7	2
PRT824_1_Q9UGV2	Q9UGV2	NDRG3_HUMAN	Protein NDRG3	Representative isoform	2	4	2
PRT824_1_Q9NTJ3	Q9NTJ3	SMC4_HUMAN	Structural maintenance of chromosomes protein 4	Representative isoform	2	12	2
PRT824_1_Q16637	Q16637	SMN_HUMAN	Survival motor neuron protein	Representative isoform	2	24	2
PRT824_1_Q9H0E3	Q9H0E3	SP130_HUMAN	Histone deacetylase complex subunit SAP130	Representative isoform	2	13	2
PRT824_1_Q01813	Q01813	PFKAP_HUMAN	ATP-dependent 6-phosphofructokinase, platelet type	Representative isoform	2	4	2
PRT824_1_P46779	P46779	RL28_HUMAN	60S ribosomal protein L28	Representative isoform	2	3	2
PRT824_1_Q13247	Q13247	SRSF6_HUMAN	Serine/arginine-rich splicing factor 6	Representative isoform	2	78	2
PRT824_1_Q13017	Q13017	RHG05_HUMAN	Rho GTPase-activating protein 5	Representative isoform	2	8	2
PRT824_1_P82094	P82094	TMF1_HUMAN	TATA element modulatory factor	Representative isoform	2	4	2
PRT824_1_Q15637	Q15637	SF01_HUMAN	Splicing factor 1	Representative isoform	2	9	2
PRT824_1_Q15154	Q15154	PCM1_HUMAN	Pericentriolar material 1 protein	Representative isoform	2	2	2
PRT824_1_Q99590	Q99590	SCAFB_HUMAN	Protein SCAF11	Representative isoform	2	17	2
PRT824_1_O75400	O75400	PR40A_HUMAN	Pre-mRNA-processing factor 40 homolog A	Representative isoform	2	19	2
PRT824_1_Q07955	Q07955	SRSF1_HUMAN	Serine/arginine-rich splicing factor 1	Representative isoform	2	9	2
PRT824_1_P53621	P53621	COPA_HUMAN	Coatomer subunit alpha	Representative isoform	2	3	2
PRT824_1_Q96PV6	Q96PV6	LENG8_HUMAN	Leukocyte receptor cluster member 8	Representative isoform	2	6	2
PRT824_1_Q8NDT2	Q8NDT2	RB15B_HUMAN	Putative RNA-binding protein 15B	Representative isoform	2	2	2
PRT824_1_Q9ULX6	Q9ULX6	AKP8L_HUMAN	A-kinase anchor protein 8-like	Representative isoform	2	8	2
PRT824_1_Q9UJX6	Q9UJX6	ANC2_HUMAN	Anaphase-promoting complex subunit 2	Representative isoform	2	12	2
PRT824_1_Q96HR8	Q96HR8	NAF1_HUMAN	H/ACA ribonucleoprotein complex non-core subunit NAF1	Representative isoform	2	13	2
PRT824_1_P34932	P34932	HSP74_HUMAN	Heat shock 70 kDa protein 4	Representative isoform	2	6	2
PRT824_1_Q96MU7	Q96MU7	YTDC1_HUMAN	YTH domain-containing protein 1	Representative isoform	2	4	2
PRT824_1_Q5JSZ5	Q5JSZ5	PRC2B_HUMAN	Protein PRRC2B	Representative isoform	2	2	2
PRT824_1_Q15084	Q15084	PDIA6_HUMAN	Protein disulfide-isomerase A6	Representative isoform	2	5	2
PRT824_1_P51531	P51531	SMCA2_HUMAN	Probable global transcription activator SNF2L2	Representative isoform	2	4	2
PRT824_1_Q9Y520	Q9Y520	PRC2C_HUMAN	Protein PRRC2C	Representative isoform	2	15	2
PRT824_1_P00558	P00558	PGK1_HUMAN	Phosphoglycerate kinase 1	Representative isoform	2	5	2
PRT824_1_Q09666	Q09666	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK	Representative isoform	2	2	2
PRT824_1_Q96JP5	Q96JP5	ZFP91_HUMAN	E3 ubiquitin-protein ligase ZFP91	Representative isoform	2	3	2
PRT824_1_P49790	P49790	NU153_HUMAN	Nuclear pore complex protein Nup153	Representative isoform	2	3	2
PRT824_1_P55196	P55196	AFAD_HUMAN	Afadin	Representative isoform	1	2	1
PRT824_1_P55265	P55265	DSRAD_HUMAN	Double-stranded RNA-specific adenosine deaminase	Representative isoform	1	5	1
PRT824_1_Q13557	Q13557	KCC2D_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit delta	Representative isoform	1	1	1
PRT824_1_Q5SW79	Q5SW79	CE170_HUMAN	Centrosomal protein of 170 kDa	Representative isoform	1	7	1
PRT824_1_Q7Z6Z7	Q7Z6Z7	HUWE1_HUMAN	E3 ubiquitin-protein ligase HUWE1	Representative isoform	1	3	1
PRT824_1_Q3KQU3	Q3KQU3	MA7D1_HUMAN	MAP7 domain-containing protein 1	Representative isoform	1	1	1
PRT824_1_Q02952	Q02952	AKA12_HUMAN	A-kinase anchor protein 12	Representative isoform	1	2	1
PRT824_1_Q7Z2W4	Q7Z2W4	ZCCHV_HUMAN	Zinc finger CCCH-type antiviral protein 1	Representative isoform	1	1	1
PRT824_1_Q9Y2D5	Q9Y2D5	AKAP2_HUMAN	A-kinase anchor protein 2	Representative isoform	1	3	1
PRT824_1_O95155	O95155	UBE4B_HUMAN	Ubiquitin conjugation factor E4 B	Representative isoform	1	2	1
PRT824_1_Q96S55	Q96S55	WRIP1_HUMAN	ATPase WRNIP1	Representative isoform	1	1	1
PRT824_1_O75643	O75643	U520_HUMAN	U5 small nuclear ribonucleoprotein 200 kDa helicase	Representative isoform	1	3	1
PRT824_1_Q9NVU0	Q9NVU0	RPC5_HUMAN	DNA-directed RNA polymerase III subunit RPC5	Representative isoform	1	3	1
PRT824_1_Q5H9R7	Q5H9R7	PP6R3_HUMAN	Serine/threonine-protein phosphatase 6 regulatory subunit 3	Representative isoform	1	5	1
PRT824_1_Q9BVC5	Q9BVC5	ASHWN_HUMAN	Ashwin	Representative isoform	1	1	1
PRT824_1_Q16666	Q16666	IF16_HUMAN	Gamma-interferon-inducible protein 16	Representative isoform	1	5	1
PRT824_1_Q13409	Q13409	DC1I2_HUMAN	Cytoplasmic dynein 1 intermediate chain 2	Representative isoform	1	3	1
PRT824_1_Q8WYP5	Q8WYP5	ELYS_HUMAN	Protein ELYS	Representative isoform	1	1	1
PRT824_1_Q8N684	Q8N684	CPSF7_HUMAN	Cleavage and polyadenylation specificity factor subunit 7	Representative isoform	1	1	1
PRT824_1_P27361	P27361	MK03_HUMAN	Mitogen-activated protein kinase 3	Representative isoform	1	2	1
PRT824_1_Q8TB72	Q8TB72	PUM2_HUMAN	Pumilio homolog 2	Representative isoform	1	1	1
PRT824_1_Q7L1Q6	Q7L1Q6	BZW1_HUMAN	Basic leucine zipper and W2 domain-containing protein 1	Representative isoform	1	2	1
PRT824_1_Q12931	Q12931	TRAP1_HUMAN	Heat shock protein 75 kDa, mitochondrial	Representative isoform	1	3	1
PRT824_1_Q8NI27	Q8NI27	THOC2_HUMAN	THO complex subunit 2	Representative isoform	1	1	1
PRT824_1_Q9UHX1	Q9UHX1	PUF60_HUMAN	Poly(U)-binding-splicing factor PUF60	Representative isoform	1	2	1
PRT824_1_P13051	P13051	UNG_HUMAN	Uracil-DNA glycosylase	Representative isoform	1	6	1
PRT824_1_P49761	P49761	CLK3_HUMAN	Dual specificity protein kinase CLK3	Representative isoform	1	1	1
PRT824_1_Q5VSL9	Q5VSL9	STRP1_HUMAN	Striatin-interacting protein 1	Representative isoform	1	10	1
PRT824_1_Q8TBZ3	Q8TBZ3	WDR20_HUMAN	WD repeat-containing protein 20	Representative isoform	1	1	1
PRT824_1_Q96B36	Q96B36	AKTS1_HUMAN	Proline-rich AKT1 substrate 1	Representative isoform	1	1	1
PRT824_1_P21127	P21127	CD11B_HUMAN	Cyclin-dependent kinase 11B	Representative isoform	1	10	0
PRT824_1_Q14103	Q14103	HNRPD_HUMAN	Heterogeneous nuclear ribonucleoprotein D0	Representative isoform	1	1	1
PRT824_1_Q8WUQ7	Q8WUQ7	CATIN_HUMAN	Cactin	Representative isoform	1	3	1
PRT824_1_Q16630	Q16630	CPSF6_HUMAN	Cleavage and polyadenylation specificity factor subunit 6	Representative isoform	1	1	1
PRT824_1_Q9BTA9	Q9BTA9	WAC_HUMAN	WW domain-containing adapter protein with coiled-coil	Representative isoform	1	6	1
PRT824_1_Q9UBC2	Q9UBC2	EP15R_HUMAN	Epidermal growth factor receptor substrate 15-like 1	Representative isoform	1	2	1
PRT824_1_Q02880	Q02880	TOP2B_HUMAN	DNA topoisomerase 2-beta	Representative isoform	1	1	1
PRT824_1_Q8NBZ0	Q8NBZ0	IN80E_HUMAN	INO80 complex subunit E	Representative isoform	1	9	1
PRT824_1_A2RRP1	A2RRP1	NBAS_HUMAN	Neuroblastoma-amplified sequence	Representative isoform	1	4	1
PRT824_1_Q96PN7	Q96PN7	TREF1_HUMAN	Transcriptional-regulating factor 1	Representative isoform	1	4	1
PRT824_1_O60343	O60343	TBCD4_HUMAN	TBC1 domain family member 4	Representative isoform	1	2	1
PRT824_1_Q8N2M8	Q8N2M8	CLASR_HUMAN	CLK4-associating serine/arginine rich protein	Representative isoform	1	1	1
PRT824_1_Q14671	Q14671	PUM1_HUMAN	Pumilio homolog 1	Representative isoform	1	2	1
PRT824_1_Q8N5A5	Q8N5A5	ZGPAT_HUMAN	Zinc finger CCCH-type with G patch domain-containing protein	Representative isoform	1	2	1
PRT824_1_P78527	P78527	PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit	Representative isoform	1	1	1
PRT824_1_P49750	P49750	YLPM1_HUMAN	YLP motif-containing protein 1	Representative isoform	1	1	1
PRT824_1_Q2KHR3	Q2KHR3	QSER1_HUMAN	Glutamine and serine-rich protein 1	Representative isoform	1	6	1
PRT824_1_P49748	P49748	ACADV_HUMAN	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	Representative isoform	1	1	1
PRT824_1_Q9UN86	Q9UN86	G3BP2_HUMAN	Ras GTPase-activating protein-binding protein 2	Representative isoform	1	1	1
PRT824_1_Q6GYQ0	Q6GYQ0	RGPA1_HUMAN	Ral GTPase-activating protein subunit alpha-1	Representative isoform	1	4	1
PRT824_1_P26368	P26368	U2AF2_HUMAN	Splicing factor U2AF 65 kDa subunit	Representative isoform	1	6	1
PRT824_1_Q69YQ0	Q69YQ0	CYTSA_HUMAN	Cytospin-A	Representative isoform	1	5	1
PRT824_1_O95251	O95251	KAT7_HUMAN	Histone acetyltransferase KAT7	Representative isoform	1	1	1
PRT824_1_Q5VV52	Q5VV52	ZN691_HUMAN	Zinc finger protein 691	Representative isoform	1	1	1
PRT824_1_Q5VWN6	Q5VWN6	TASO2_HUMAN	Protein TASOR 2	Representative isoform	1	1	1
PRT824_1_Q9UHJ3	Q9UHJ3	SMBT1_HUMAN	Scm-like with four MBT domains protein 1	Representative isoform	1	3	1
PRT824_1_Q8IWS0	Q8IWS0	PHF6_HUMAN	PHD finger protein 6	Representative isoform	1	7	1
PRT824_1_Q15149	Q15149	PLEC_HUMAN	Plectin	Representative isoform	1	7	1
PRT824_1_P43487	P43487	RANG_HUMAN	Ran-specific GTPase-activating protein	Representative isoform	1	7	1
PRT824_1_P15924	P15924	DESP_HUMAN	Desmoplakin	Representative isoform	1	4	1
PRT824_1_Q86WR7	Q86WR7	PRSR2_HUMAN	Proline and serine-rich protein 2	Representative isoform	1	2	1
PRT824_1_P84103	P84103	SRSF3_HUMAN	Serine/arginine-rich splicing factor 3	Representative isoform	1	4	1
PRT824_1_Q03164	Q03164	KMT2A_HUMAN	Histone-lysine N-methyltransferase 2A	Representative isoform	1	4	1
PRT824_1_Q86X29	Q86X29	LSR_HUMAN	Lipolysis-stimulated lipoprotein receptor	Representative isoform	1	5	1
PRT824_1_Q6PKG0	Q6PKG0	LARP1_HUMAN	La-related protein 1	Representative isoform	1	7	1
PRT824_1_P08621	P08621	RU17_HUMAN	U1 small nuclear ribonucleoprotein 70 kDa	Representative isoform	1	1	1
PRT824_1_P07948	P07948	LYN_HUMAN	Tyrosine-protein kinase Lyn	Representative isoform	1	3	1
PRT824_1_P68104	P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1	Representative isoform	1	8	0
PRT824_1_Q9GZS1	Q9GZS1	RPA49_HUMAN	DNA-directed RNA polymerase I subunit RPA49	Representative isoform	1	5	1
PRT824_1_Q8NEY8	Q8NEY8	PPHLN_HUMAN	Periphilin-1	Representative isoform	1	1	1
PRT824_1_Q5VT52	Q5VT52	RPRD2_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 2	Representative isoform	1	15	1
PRT824_1_Q7Z3K3	Q7Z3K3	POGZ_HUMAN	Pogo transposable element with ZNF domain	Representative isoform	1	10	1
PRT824_1_P08559	P08559	ODPA_HUMAN	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	Representative isoform	1	3	0
PRT824_1_Q5SSJ5	Q5SSJ5	HP1B3_HUMAN	Heterochromatin protein 1-binding protein 3	Representative isoform	1	3	1
PRT824_1_Q96EZ8	Q96EZ8	MCRS1_HUMAN	Microspherule protein 1	Representative isoform	1	5	1
PRT824_1_Q9Y2K7	Q9Y2K7	KDM2A_HUMAN	Lysine-specific demethylase 2A	Representative isoform	1	8	1
PRT824_1_P18621	P18621	RL17_HUMAN	60S ribosomal protein L17	Representative isoform	1	6	1
PRT824_1_O60237	O60237	MYPT2_HUMAN	Protein phosphatase 1 regulatory subunit 12B	Representative isoform	1	2	1
PRT824_1_Q14669	Q14669	TRIPC_HUMAN	E3 ubiquitin-protein ligase TRIP12	Representative isoform	1	1	1
PRT824_1_Q8N6T3	Q8N6T3	ARFG1_HUMAN	ADP-ribosylation factor GTPase-activating protein 1	Representative isoform	1	3	1
PRT824_1_Q9BUJ2	Q9BUJ2	HNRL1_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 1	Representative isoform	1	1	1
PRT824_1_Q14155	Q14155	ARHG7_HUMAN	Rho guanine nucleotide exchange factor 7	Representative isoform	1	3	0
PRT824_1_Q9Y4W2	Q9Y4W2	LAS1L_HUMAN	Ribosomal biogenesis protein LAS1L	Representative isoform	1	2	1
PRT824_1_Q92576	Q92576	PHF3_HUMAN	PHD finger protein 3	Representative isoform	1	2	1
PRT824_1_P35658	P35658	NU214_HUMAN	Nuclear pore complex protein Nup214	Representative isoform	1	1	1
PRT824_1_P06733	P06733	ENOA_HUMAN	Alpha-enolase	Representative isoform	1	5	1
PRT824_1_Q69YN2	Q69YN2	C19L1_HUMAN	CWF19-like protein 1	Representative isoform	1	1	1
PRT824_1_O60763	O60763	USO1_HUMAN	General vesicular transport factor p115	Representative isoform	1	3	1
PRT824_1_Q9UKM9	Q9UKM9	RALY_HUMAN	RNA-binding protein Raly	Representative isoform	1	1	1
PRT824_1_Q14643	Q14643	ITPR1_HUMAN	Inositol 1,4,5-trisphosphate receptor type 1	Representative isoform	1	3	1
PRT824_1_P35221	P35221	CTNA1_HUMAN	Catenin alpha-1	Representative isoform	1	17	1
PRT824_1_Q05682	Q05682	CALD1_HUMAN	Caldesmon	Representative isoform	1	1	1
PRT824_1_Q9H910	Q9H910	JUPI2_HUMAN	Jupiter microtubule associated homolog 2	Representative isoform	1	3	1
PRT824_1_P08240	P08240	SRPRA_HUMAN	Signal recognition particle receptor subunit alpha	Representative isoform	1	10	1
PRT824_1_Q14157	Q14157	UBP2L_HUMAN	Ubiquitin-associated protein 2-like	Representative isoform	1	1	1
