protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT870_1_Q9UQ35	Q9UQ35	SRRM2_HUMAN	Serine/arginine repetitive matrix protein 2	Representative isoform	19	143	19
PRT870_1_Q12888	Q12888	TP53B_HUMAN	TP53-binding protein 1	Representative isoform	9	30	9
PRT870_1_Q9NYF8	Q9NYF8	BCLF1_HUMAN	Bcl-2-associated transcription factor 1	Representative isoform	8	56	8
PRT870_1_Q9H1E3	Q9H1E3	NUCKS_HUMAN	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	Representative isoform	7	152	7
PRT870_1_Q8NE71	Q8NE71	ABCF1_HUMAN	ATP-binding cassette sub-family F member 1	Representative isoform	7	56	7
PRT870_1_P06733	P06733	ENOA_HUMAN	Alpha-enolase	Representative isoform	7	17	5
PRT870_1_P06748	P06748	NPM_HUMAN	Nucleophosmin	Representative isoform	7	1494	7
PRT870_1_Q9C0C2	Q9C0C2	TB182_HUMAN	182 kDa tankyrase-1-binding protein	Representative isoform	6	31	6
PRT870_1_Q641Q2	Q641Q2	WAC2A_HUMAN	WASH complex subunit 2A	Representative isoform	6	20	2
PRT870_1_Q6PKG0	Q6PKG0	LARP1_HUMAN	La-related protein 1	Representative isoform	6	36	6
PRT870_1_Q13428	Q13428	TCOF_HUMAN	Treacle protein	Representative isoform	6	41	6
PRT870_1_P68363	P68363	TBA1B_HUMAN	Tubulin alpha-1B chain	Representative isoform	5	22	0
PRT870_1_P35659	P35659	DEK_HUMAN	Protein DEK	Representative isoform	5	33	5
PRT870_1_P11388	P11388	TOP2A_HUMAN	DNA topoisomerase 2-alpha	Representative isoform	5	24	5
PRT870_1_Q9ULD2	Q9ULD2	MTUS1_HUMAN	Microtubule-associated tumor suppressor 1	Representative isoform	5	15	5
PRT870_1_Q5JSH3	Q5JSH3	WDR44_HUMAN	WD repeat-containing protein 44	Representative isoform	5	11	5
PRT870_1_P46013	P46013	KI67_HUMAN	Proliferation marker protein Ki-67	Representative isoform	5	50	5
PRT870_1_P51858	P51858	HDGF_HUMAN	Hepatoma-derived growth factor	Representative isoform	5	51	5
PRT870_1_P04406	P04406	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase	Representative isoform	5	31	5
PRT870_1_Q13263	Q13263	TIF1B_HUMAN	Transcription intermediary factor 1-beta	Representative isoform	5	83	5
PRT870_1_Q9Y4E1	Q9Y4E1	WAC2C_HUMAN	WASH complex subunit 2C	Representative isoform	5	15	1
PRT870_1_Q99590	Q99590	SCAFB_HUMAN	Protein SCAF11	Representative isoform	5	17	5
PRT870_1_Q9NTI5	Q9NTI5	PDS5B_HUMAN	Sister chromatid cohesion protein PDS5 homolog B	Representative isoform	5	20	5
PRT870_1_P11142	P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein	Representative isoform	5	10	3
PRT870_1_P02545	P02545	LMNA_HUMAN	Prelamin-A/C	Representative isoform	4	17	4
PRT870_1_P10809	P10809	CH60_HUMAN	60 kDa heat shock protein, mitochondrial	Representative isoform	4	11	4
PRT870_1_Q02880	Q02880	TOP2B_HUMAN	DNA topoisomerase 2-beta	Representative isoform	4	28	4
PRT870_1_P63104	P63104	1433Z_HUMAN	14-3-3 protein zeta/delta	Representative isoform	4	13	4
PRT870_1_Q5UIP0	Q5UIP0	RIF1_HUMAN	Telomere-associated protein RIF1	Representative isoform	4	13	4
PRT870_1_Q9BTC0	Q9BTC0	DIDO1_HUMAN	Death-inducer obliterator 1	Representative isoform	4	37	4
PRT870_1_P07355	P07355	ANXA2_HUMAN	Annexin A2	Representative isoform	4	6	3
PRT870_1_Q15424	Q15424	SAFB1_HUMAN	Scaffold attachment factor B1	Representative isoform	4	65	2
PRT870_1_P27816	P27816	MAP4_HUMAN	Microtubule-associated protein 4	Representative isoform	4	22	4
PRT870_1_Q96T23	Q96T23	RSF1_HUMAN	Remodeling and spacing factor 1	Representative isoform	4	25	4
PRT870_1_P52948	P52948	NUP98_HUMAN	Nuclear pore complex protein Nup98-Nup96	Representative isoform	4	32	4
PRT870_1_P16989	P16989	YBOX3_HUMAN	Y-box-binding protein 3	Representative isoform	4	30	4
PRT870_1_P62258	P62258	1433E_HUMAN	14-3-3 protein epsilon	Representative isoform	4	14	4
PRT870_1_Q15149	Q15149	PLEC_HUMAN	Plectin	Representative isoform	4	40	4
PRT870_1_O00264	O00264	PGRC1_HUMAN	Membrane-associated progesterone receptor component 1	Representative isoform	4	50	4
PRT870_1_Q86XP3	Q86XP3	DDX42_HUMAN	ATP-dependent RNA helicase DDX42	Representative isoform	3	7	3
PRT870_1_Q8WWI1	Q8WWI1	LMO7_HUMAN	LIM domain only protein 7	Representative isoform	3	9	3
PRT870_1_Q9Y2K7	Q9Y2K7	KDM2A_HUMAN	Lysine-specific demethylase 2A	Representative isoform	3	15	3
PRT870_1_P46379	P46379	BAG6_HUMAN	Large proline-rich protein BAG6	Representative isoform	3	9	3
PRT870_1_Q14694	Q14694	UBP10_HUMAN	Ubiquitin carboxyl-terminal hydrolase 10	Representative isoform	3	31	3
PRT870_1_Q9Y618	Q9Y618	NCOR2_HUMAN	Nuclear receptor corepressor 2	Representative isoform	3	7	3
PRT870_1_P13861	P13861	KAP2_HUMAN	cAMP-dependent protein kinase type II-alpha regulatory subunit	Representative isoform	3	16	3
PRT870_1_O15085	O15085	ARHGB_HUMAN	Rho guanine nucleotide exchange factor 11	Representative isoform	3	5	3
PRT870_1_P20020	P20020	AT2B1_HUMAN	Plasma membrane calcium-transporting ATPase 1	Representative isoform	3	6	2
PRT870_1_Q9H6Z4	Q9H6Z4	RANB3_HUMAN	Ran-binding protein 3	Representative isoform	3	6	3
PRT870_1_Q02952	Q02952	AKA12_HUMAN	A-kinase anchor protein 12	Representative isoform	3	19	3
PRT870_1_P54725	P54725	RD23A_HUMAN	UV excision repair protein RAD23 homolog A	Representative isoform	3	14	3
PRT870_1_Q8N3X1	Q8N3X1	FNBP4_HUMAN	Formin-binding protein 4	Representative isoform	3	18	3
PRT870_1_Q96TA1	Q96TA1	NIBA2_HUMAN	Protein Niban 2	Representative isoform	3	54	3
PRT870_1_Q9NQC3	Q9NQC3	RTN4_HUMAN	Reticulon-4	Representative isoform	3	50	3
PRT870_1_Q14C86	Q14C86	GAPD1_HUMAN	GTPase-activating protein and VPS9 domain-containing protein 1	Representative isoform	3	11	3
PRT870_1_Q9BUJ2	Q9BUJ2	HNRL1_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 1	Representative isoform	3	57	3
PRT870_1_P68104	P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1	Representative isoform	3	18	0
PRT870_1_Q6P2E9	Q6P2E9	EDC4_HUMAN	Enhancer of mRNA-decapping protein 4	Representative isoform	3	19	3
PRT870_1_Q96AC1	Q96AC1	FERM2_HUMAN	Fermitin family homolog 2	Representative isoform	3	9	3
PRT870_1_Q04726	Q04726	TLE3_HUMAN	Transducin-like enhancer protein 3	Representative isoform	3	17	3
PRT870_1_P27824	P27824	CALX_HUMAN	Calnexin	Representative isoform	3	40	3
PRT870_1_Q9UHB6	Q9UHB6	LIMA1_HUMAN	LIM domain and actin-binding protein 1	Representative isoform	3	34	3
PRT870_1_Q99700	Q99700	ATX2_HUMAN	Ataxin-2	Representative isoform	3	6	3
PRT870_1_Q9UKV3	Q9UKV3	ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus	Representative isoform	3	13	3
PRT870_1_O95218	O95218	ZRAB2_HUMAN	Zinc finger Ran-binding domain-containing protein 2	Representative isoform	3	37	3
PRT870_1_P09651	P09651	ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1	Representative isoform	3	15	2
PRT870_1_Q9H4L7	Q9H4L7	SMRCD_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	Representative isoform	3	6	3
PRT870_1_Q14676	Q14676	MDC1_HUMAN	Mediator of DNA damage checkpoint protein 1	Representative isoform	3	8	3
PRT870_1_Q8IYB3	Q8IYB3	SRRM1_HUMAN	Serine/arginine repetitive matrix protein 1	Representative isoform	3	36	3
PRT870_1_Q12789	Q12789	TF3C1_HUMAN	General transcription factor 3C polypeptide 1	Representative isoform	3	14	3
PRT870_1_Q01082	Q01082	SPTB2_HUMAN	Spectrin beta chain, non-erythrocytic 1	Representative isoform	3	16	3
PRT870_1_Q7Z6Z7	Q7Z6Z7	HUWE1_HUMAN	E3 ubiquitin-protein ligase HUWE1	Representative isoform	3	13	3
PRT870_1_P61978	P61978	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K	Representative isoform	3	41	3
PRT870_1_Q86WB0	Q86WB0	NIPA_HUMAN	Nuclear-interacting partner of ALK	Representative isoform	3	12	3
PRT870_1_P00558	P00558	PGK1_HUMAN	Phosphoglycerate kinase 1	Representative isoform	3	7	3
PRT870_1_P18858	P18858	DNLI1_HUMAN	DNA ligase 1	Representative isoform	3	22	3
