protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT870_1_Q8NEJ9	Q8NEJ9	NGDN_HUMAN	Neuroguidin	Representative isoform	3	21	3
PRT870_1_Q8WWM7	Q8WWM7	ATX2L_HUMAN	Ataxin-2-like protein	Representative isoform	3	14	3
PRT870_1_Q99733	Q99733	NP1L4_HUMAN	Nucleosome assembly protein 1-like 4	Representative isoform	3	37	3
PRT870_1_Q14247	Q14247	SRC8_HUMAN	Src substrate cortactin	Representative isoform	3	22	3
PRT870_1_P46100	P46100	ATRX_HUMAN	Transcriptional regulator ATRX	Representative isoform	3	12	3
PRT870_1_P46937	P46937	YAP1_HUMAN	Transcriptional coactivator YAP1	Representative isoform	3	21	3
PRT870_1_Q12906	Q12906	ILF3_HUMAN	Interleukin enhancer-binding factor 3	Representative isoform	3	18	3
PRT870_1_P07900	P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha	Representative isoform	3	47	1
PRT870_1_Q8NC51	Q8NC51	PAIRB_HUMAN	Plasminogen activator inhibitor 1 RNA-binding protein	Representative isoform	3	11	3
PRT870_1_Q14157	Q14157	UBP2L_HUMAN	Ubiquitin-associated protein 2-like	Representative isoform	3	32	3
PRT870_1_P20810	P20810	ICAL_HUMAN	Calpastatin	Representative isoform	3	15	3
PRT870_1_Q8N556	Q8N556	AFAP1_HUMAN	Actin filament-associated protein 1	Representative isoform	3	12	3
PRT870_1_P08651	P08651	NFIC_HUMAN	Nuclear factor 1 C-type	Representative isoform	3	11	3
PRT870_1_Q9NQ55	Q9NQ55	SSF1_HUMAN	Suppressor of SWI4 1 homolog	Representative isoform	2	14	2
PRT870_1_Q01105	Q01105	SET_HUMAN	Protein SET	Representative isoform	2	4	0
PRT870_1_Q8ND56	Q8ND56	LS14A_HUMAN	Protein LSM14 homolog A	Representative isoform	2	14	2
PRT870_1_Q8N122	Q8N122	RPTOR_HUMAN	Regulatory-associated protein of mTOR	Representative isoform	2	7	2
PRT870_1_Q9P2E9	Q9P2E9	RRBP1_HUMAN	Ribosome-binding protein 1	Representative isoform	2	8	2
PRT870_1_O94979	O94979	SC31A_HUMAN	Protein transport protein Sec31A	Representative isoform	2	4	2
PRT870_1_O00410	O00410	IPO5_HUMAN	Importin-5	Representative isoform	2	7	2
PRT870_1_Q92598	Q92598	HS105_HUMAN	Heat shock protein 105 kDa	Representative isoform	2	41	2
PRT870_1_Q9P1Y6	Q9P1Y6	PHRF1_HUMAN	PHD and RING finger domain-containing protein 1	Representative isoform	2	4	2
PRT870_1_Q8WVC0	Q8WVC0	LEO1_HUMAN	RNA polymerase-associated protein LEO1	Representative isoform	2	8	2
PRT870_1_Q96B36	Q96B36	AKTS1_HUMAN	Proline-rich AKT1 substrate 1	Representative isoform	2	6	2
PRT870_1_P80723	P80723	BASP1_HUMAN	Brain acid soluble protein 1	Representative isoform	2	2	2
PRT870_1_Q99549	Q99549	MPP8_HUMAN	M-phase phosphoprotein 8	Representative isoform	2	8	2
PRT870_1_Q15459	Q15459	SF3A1_HUMAN	Splicing factor 3A subunit 1	Representative isoform	2	38	2
PRT870_1_Q7Z6E9	Q7Z6E9	RBBP6_HUMAN	E3 ubiquitin-protein ligase RBBP6	Representative isoform	2	4	2
PRT870_1_Q12802	Q12802	AKP13_HUMAN	A-kinase anchor protein 13	Representative isoform	2	6	2
PRT870_1_P07910	P07910	HNRPC_HUMAN	Heterogeneous nuclear ribonucleoproteins C1/C2	Representative isoform	2	24	2
PRT870_1_P62070	P62070	RRAS2_HUMAN	Ras-related protein R-Ras2	Representative isoform	2	9	2
PRT870_1_O95155	O95155	UBE4B_HUMAN	Ubiquitin conjugation factor E4 B	Representative isoform	2	9	2
PRT870_1_Q00839	Q00839	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U	Representative isoform	2	22	2
PRT870_1_Q16666	Q16666	IF16_HUMAN	Gamma-interferon-inducible protein 16	Representative isoform	2	12	2
PRT870_1_Q92538	Q92538	GBF1_HUMAN	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	Representative isoform	2	9	2
PRT870_1_Q8TDM6	Q8TDM6	DLG5_HUMAN	Disks large homolog 5	Representative isoform	2	3	2
PRT870_1_Q2KHR3	Q2KHR3	QSER1_HUMAN	Glutamine and serine-rich protein 1	Representative isoform	2	6	2
PRT870_1_Q8NHQ9	Q8NHQ9	DDX55_HUMAN	ATP-dependent RNA helicase DDX55	Representative isoform	2	7	2
PRT870_1_P04075	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A	Representative isoform	2	8	2
PRT870_1_P21127	P21127	CD11B_HUMAN	Cyclin-dependent kinase 11B	Representative isoform	2	7	0
PRT870_1_P55209	P55209	NP1L1_HUMAN	Nucleosome assembly protein 1-like 1	Representative isoform	2	5	2
PRT870_1_Q6ZN18	Q6ZN18	AEBP2_HUMAN	Zinc finger protein AEBP2	Representative isoform	2	4	2
PRT870_1_Q9BQG0	Q9BQG0	MBB1A_HUMAN	Myb-binding protein 1A	Representative isoform	2	23	2
PRT870_1_P54727	P54727	RD23B_HUMAN	UV excision repair protein RAD23 homolog B	Representative isoform	2	32	2
PRT870_1_O14639	O14639	ABLM1_HUMAN	Actin-binding LIM protein 1	Representative isoform	2	5	2
PRT870_1_Q13459	Q13459	MYO9B_HUMAN	Unconventional myosin-IXb	Representative isoform	2	4	2
PRT870_1_Q9UK76	Q9UK76	JUPI1_HUMAN	Jupiter microtubule associated homolog 1	Representative isoform	2	14	2
PRT870_1_Q8WXG6	Q8WXG6	MADD_HUMAN	MAP kinase-activating death domain protein	Representative isoform	2	6	2
PRT870_1_Q96T88	Q96T88	UHRF1_HUMAN	E3 ubiquitin-protein ligase UHRF1	Representative isoform	2	9	2
PRT870_1_Q4G0J3	Q4G0J3	LARP7_HUMAN	La-related protein 7	Representative isoform	2	15	2
PRT870_1_P78332	P78332	RBM6_HUMAN	RNA-binding protein 6	Representative isoform	2	12	2
PRT870_1_P50548	P50548	ERF_HUMAN	ETS domain-containing transcription factor ERF	Representative isoform	2	4	2
PRT870_1_Q13425	Q13425	SNTB2_HUMAN	Beta-2-syntrophin	Representative isoform	2	4	2
PRT870_1_P18615	P18615	NELFE_HUMAN	Negative elongation factor E	Representative isoform	2	8	2
PRT870_1_Q96EV2	Q96EV2	RBM33_HUMAN	RNA-binding protein 33	Representative isoform	2	9	2
PRT870_1_P82094	P82094	TMF1_HUMAN	TATA element modulatory factor	Representative isoform	2	4	2
PRT870_1_Q6WKZ4	Q6WKZ4	RFIP1_HUMAN	Rab11 family-interacting protein 1	Representative isoform	2	9	2
PRT870_1_O60763	O60763	USO1_HUMAN	General vesicular transport factor p115	Representative isoform	2	10	2
PRT870_1_P23588	P23588	IF4B_HUMAN	Eukaryotic translation initiation factor 4B	Representative isoform	2	18	2
PRT870_1_Q5VT52	Q5VT52	RPRD2_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 2	Representative isoform	2	17	2
PRT870_1_Q7Z5K2	Q7Z5K2	WAPL_HUMAN	Wings apart-like protein homolog	Representative isoform	2	10	2
PRT870_1_Q9HCN4	Q9HCN4	GPN1_HUMAN	GPN-loop GTPase 1	Representative isoform	2	11	2
PRT870_1_Q86UP2	Q86UP2	KTN1_HUMAN	Kinectin	Representative isoform	2	12	2
PRT870_1_Q9NR30	Q9NR30	DDX21_HUMAN	Nucleolar RNA helicase 2	Representative isoform	2	15	2
PRT870_1_Q9Y2D5	Q9Y2D5	AKAP2_HUMAN	A-kinase anchor protein 2	Representative isoform	2	14	2
PRT870_1_O95359	O95359	TACC2_HUMAN	Transforming acidic coiled-coil-containing protein 2	Representative isoform	2	3	2
PRT870_1_Q15019	Q15019	SEPT2_HUMAN	Septin-2	Representative isoform	2	18	2
PRT870_1_Q8TDD1	Q8TDD1	DDX54_HUMAN	ATP-dependent RNA helicase DDX54	Representative isoform	2	8	2
PRT870_1_P16949	P16949	STMN1_HUMAN	Stathmin	Representative isoform	2	14	2
PRT870_1_Q08AD1	Q08AD1	CAMP2_HUMAN	Calmodulin-regulated spectrin-associated protein 2	Representative isoform	2	5	2
PRT870_1_Q76FK4	Q76FK4	NOL8_HUMAN	Nucleolar protein 8	Representative isoform	2	2	2
PRT870_1_Q7Z4S6	Q7Z4S6	KI21A_HUMAN	Kinesin-like protein KIF21A	Representative isoform	2	8	2
PRT870_1_Q86VM9	Q86VM9	ZCH18_HUMAN	Zinc finger CCCH domain-containing protein 18	Representative isoform	2	3	2
PRT870_1_Q15366	Q15366	PCBP2_HUMAN	Poly(rC)-binding protein 2	Representative isoform	2	29	2
PRT870_1_Q5SW79	Q5SW79	CE170_HUMAN	Centrosomal protein of 170 kDa	Representative isoform	2	6	2
PRT870_1_P04049	P04049	RAF1_HUMAN	RAF proto-oncogene serine/threonine-protein kinase	Representative isoform	2	5	2
PRT870_1_Q9GZR7	Q9GZR7	DDX24_HUMAN	ATP-dependent RNA helicase DDX24	Representative isoform	2	11	2
PRT870_1_P35579	P35579	MYH9_HUMAN	Myosin-9	Representative isoform	2	7	2
PRT870_1_Q5VSL9	Q5VSL9	STRP1_HUMAN	Striatin-interacting protein 1	Representative isoform	2	8	2
PRT870_1_Q9UER7	Q9UER7	DAXX_HUMAN	Death domain-associated protein 6	Representative isoform	2	3	2
PRT870_1_P46087	P46087	NOP2_HUMAN	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	Representative isoform	2	13	2
PRT870_1_Q9HB58	Q9HB58	SP110_HUMAN	Sp110 nuclear body protein	Representative isoform	2	6	2
PRT870_1_P40818	P40818	UBP8_HUMAN	Ubiquitin carboxyl-terminal hydrolase 8	Representative isoform	2	9	2
PRT870_1_Q14839	Q14839	CHD4_HUMAN	Chromodomain-helicase-DNA-binding protein 4	Representative isoform	2	8	2
PRT870_1_P78347	P78347	GTF2I_HUMAN	General transcription factor II-I	Representative isoform	2	8	2
PRT870_1_P25205	P25205	MCM3_HUMAN	DNA replication licensing factor MCM3	Representative isoform	2	12	2
PRT870_1_Q9UQ80	Q9UQ80	PA2G4_HUMAN	Proliferation-associated protein 2G4	Representative isoform	2	28	2
PRT870_1_Q14980	Q14980	NUMA1_HUMAN	Nuclear mitotic apparatus protein 1	Representative isoform	2	18	2
PRT870_1_Q96SB4	Q96SB4	SRPK1_HUMAN	SRSF protein kinase 1	Representative isoform	2	10	2
PRT870_1_Q9UPQ0	Q9UPQ0	LIMC1_HUMAN	LIM and calponin homology domains-containing protein 1	Representative isoform	2	9	2
PRT870_1_Q00613	Q00613	HSF1_HUMAN	Heat shock factor protein 1	Representative isoform	2	24	2
PRT870_1_Q99543	Q99543	DNJC2_HUMAN	DnaJ homolog subfamily C member 2	Representative isoform	2	5	2
PRT870_1_O75822	O75822	EIF3J_HUMAN	Eukaryotic translation initiation factor 3 subunit J	Representative isoform	2	21	2
PRT870_1_Q5JTV8	Q5JTV8	TOIP1_HUMAN	Torsin-1A-interacting protein 1	Representative isoform	2	22	2
PRT870_1_Q9NYV4	Q9NYV4	CDK12_HUMAN	Cyclin-dependent kinase 12	Representative isoform	2	6	2
PRT870_1_Q96N67	Q96N67	DOCK7_HUMAN	Dedicator of cytokinesis protein 7	Representative isoform	2	4	2
PRT870_1_Q9UK58	Q9UK58	CCNL1_HUMAN	Cyclin-L1	Representative isoform	2	6	2
PRT870_1_P51610	P51610	HCFC1_HUMAN	Host cell factor 1	Representative isoform	2	13	2
PRT870_1_Q71RC2	Q71RC2	LARP4_HUMAN	La-related protein 4	Representative isoform	2	18	2
PRT870_1_Q86TC9	Q86TC9	MYPN_HUMAN	Myopalladin	Representative isoform	2	12	2
PRT870_1_P22626	P22626	ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1	Representative isoform	2	30	2
PRT870_1_Q7KZ85	Q7KZ85	SPT6H_HUMAN	Transcription elongation factor SPT6	Representative isoform	2	11	2
PRT870_1_Q86SQ0	Q86SQ0	PHLB2_HUMAN	Pleckstrin homology-like domain family B member 2	Representative isoform	2	2	2
PRT870_1_Q9UGV2	Q9UGV2	NDRG3_HUMAN	Protein NDRG3	Representative isoform	2	9	2
PRT870_1_P29692	P29692	EF1D_HUMAN	Elongation factor 1-delta	Representative isoform	2	109	2
PRT870_1_Q8TBB5	Q8TBB5	KLDC4_HUMAN	Kelch domain-containing protein 4	Representative isoform	2	4	2
PRT870_1_Q08J23	Q08J23	NSUN2_HUMAN	RNA cytosine C(5)-methyltransferase NSUN2	Representative isoform	2	75	2
PRT870_1_Q8WUB8	Q8WUB8	PHF10_HUMAN	PHD finger protein 10	Representative isoform	2	7	2
PRT870_1_Q5T5U3	Q5T5U3	RHG21_HUMAN	Rho GTPase-activating protein 21	Representative isoform	2	6	2
PRT870_1_Q9NZT2	Q9NZT2	OGFR_HUMAN	Opioid growth factor receptor	Representative isoform	2	5	2
PRT870_1_Q96T37	Q96T37	RBM15_HUMAN	RNA-binding protein 15	Representative isoform	2	10	2
PRT870_1_P22314	P22314	UBA1_HUMAN	Ubiquitin-like modifier-activating enzyme 1	Representative isoform	2	4	2
PRT870_1_Q9UN86	Q9UN86	G3BP2_HUMAN	Ras GTPase-activating protein-binding protein 2	Representative isoform	2	24	2
PRT870_1_O75376	O75376	NCOR1_HUMAN	Nuclear receptor corepressor 1	Representative isoform	2	21	2
PRT870_1_P14618	P14618	KPYM_HUMAN	Pyruvate kinase PKM	Representative isoform	2	4	2
PRT870_1_Q16637	Q16637	SMN_HUMAN	Survival motor neuron protein	Representative isoform	2	11	2
PRT870_1_Q5T1M5	Q5T1M5	FKB15_HUMAN	FK506-binding protein 15	Representative isoform	2	19	2
PRT870_1_O14974	O14974	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A	Representative isoform	2	9	2
PRT870_1_Q14160	Q14160	SCRIB_HUMAN	Protein scribble homolog	Representative isoform	2	9	2
PRT870_1_Q13884	Q13884	SNTB1_HUMAN	Beta-1-syntrophin	Representative isoform	2	5	2
PRT870_1_Q5T200	Q5T200	ZC3HD_HUMAN	Zinc finger CCCH domain-containing protein 13	Representative isoform	2	6	2
PRT870_1_Q68EM7	Q68EM7	RHG17_HUMAN	Rho GTPase-activating protein 17	Representative isoform	2	23	2
PRT870_1_Q13610	Q13610	PWP1_HUMAN	Periodic tryptophan protein 1 homolog	Representative isoform	2	23	2
PRT870_1_O14497	O14497	ARI1A_HUMAN	AT-rich interactive domain-containing protein 1A	Representative isoform	2	5	2
PRT870_1_P05388	P05388	RLA0_HUMAN	60S acidic ribosomal protein P0	Representative isoform	2	68	0
PRT870_1_Q9UKJ3	Q9UKJ3	GPTC8_HUMAN	G patch domain-containing protein 8	Representative isoform	2	13	2
PRT870_1_P31946	P31946	1433B_HUMAN	14-3-3 protein beta/alpha	Representative isoform	2	6	2
PRT870_1_O94864	O94864	ST65G_HUMAN	STAGA complex 65 subunit gamma	Representative isoform	1	5	1
PRT870_1_O95453	O95453	PARN_HUMAN	Poly(A)-specific ribonuclease PARN	Representative isoform	1	7	1
PRT870_1_Q9Y608	Q9Y608	LRRF2_HUMAN	Leucine-rich repeat flightless-interacting protein 2	Representative isoform	1	3	1
PRT870_1_Q9H788	Q9H788	SH24A_HUMAN	SH2 domain-containing protein 4A	Representative isoform	1	8	1
PRT870_1_Q9NRL2	Q9NRL2	BAZ1A_HUMAN	Bromodomain adjacent to zinc finger domain protein 1A	Representative isoform	1	2	1
PRT870_1_O14745	O14745	NHRF1_HUMAN	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	Representative isoform	1	5	1
PRT870_1_O43768	O43768	ENSA_HUMAN	Alpha-endosulfine	Representative isoform	1	4	1
PRT870_1_P42684	P42684	ABL2_HUMAN	Tyrosine-protein kinase ABL2	Representative isoform	1	1	1
PRT870_1_Q16643	Q16643	DREB_HUMAN	Drebrin	Representative isoform	1	4	1
PRT870_1_Q92900	Q92900	RENT1_HUMAN	Regulator of nonsense transcripts 1	Representative isoform	1	3	1
PRT870_1_Q13596	Q13596	SNX1_HUMAN	Sorting nexin-1	Representative isoform	1	10	1
PRT870_1_Q9P287	Q9P287	BCCIP_HUMAN	BRCA2 and CDKN1A-interacting protein	Representative isoform	1	2	1
PRT870_1_Q13017	Q13017	RHG05_HUMAN	Rho GTPase-activating protein 5	Representative isoform	1	1	1
PRT870_1_Q8WVB6	Q8WVB6	CTF18_HUMAN	Chromosome transmission fidelity protein 18 homolog	Representative isoform	1	11	1
PRT870_1_Q32MZ4	Q32MZ4	LRRF1_HUMAN	Leucine-rich repeat flightless-interacting protein 1	Representative isoform	1	5	1
PRT870_1_P17544	P17544	ATF7_HUMAN	Cyclic AMP-dependent transcription factor ATF-7	Representative isoform	1	9	1
PRT870_1_Q15276	Q15276	RABE1_HUMAN	Rab GTPase-binding effector protein 1	Representative isoform	1	1	1
PRT870_1_Q96A57	Q96A57	TM230_HUMAN	Transmembrane protein 230	Representative isoform	1	3	1
PRT870_1_P10599	P10599	THIO_HUMAN	Thioredoxin	Representative isoform	1	1	1
PRT870_1_Q9BTA9	Q9BTA9	WAC_HUMAN	WW domain-containing adapter protein with coiled-coil	Representative isoform	1	4	1
PRT870_1_P29375	P29375	KDM5A_HUMAN	Lysine-specific demethylase 5A	Representative isoform	1	4	1
PRT870_1_Q9UJX2	Q9UJX2	CDC23_HUMAN	Cell division cycle protein 23 homolog	Representative isoform	1	1	1
PRT870_1_Q8N3V7	Q8N3V7	SYNPO_HUMAN	Synaptopodin	Representative isoform	1	3	1
PRT870_1_P08621	P08621	RU17_HUMAN	U1 small nuclear ribonucleoprotein 70 kDa	Representative isoform	1	12	1
PRT870_1_Q86VX9	Q86VX9	MON1A_HUMAN	Vacuolar fusion protein MON1 homolog A	Representative isoform	1	1	1
PRT870_1_P40855	P40855	PEX19_HUMAN	Peroxisomal biogenesis factor 19	Representative isoform	1	2	1
PRT870_1_Q96PN7	Q96PN7	TREF1_HUMAN	Transcriptional-regulating factor 1	Representative isoform	1	1	1
PRT870_1_Q86W92	Q86W92	LIPB1_HUMAN	Liprin-beta-1	Representative isoform	1	1	1
PRT870_1_O00267	O00267	SPT5H_HUMAN	Transcription elongation factor SPT5	Representative isoform	1	7	1
PRT870_1_Q5TDH0	Q5TDH0	DDI2_HUMAN	Protein DDI1 homolog 2	Representative isoform	1	2	1
PRT870_1_Q9UJX6	Q9UJX6	ANC2_HUMAN	Anaphase-promoting complex subunit 2	Representative isoform	1	7	1
PRT870_1_Q06210	Q06210	GFPT1_HUMAN	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	Representative isoform	1	5	1
PRT870_1_Q06587	Q06587	RING1_HUMAN	E3 ubiquitin-protein ligase RING1	Representative isoform	1	5	1
